
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;7;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
104;22;32764
